start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.1785834,80.1182929,13.1780067,80.1231623,Phase 3,Phase 3,576,139,139,0.24131944444444445
13.1809876,80.1333083,13.1830196,80.1288679,Thirumullaivoyal,Thirumullaivoyal,529,69,60,0.11342155009451796
13.1825208,80.1316957,13.1848679,80.1284033,Thirumullaivoyal,Padianallur,550,73,73,0.13272727272727272
13.195593,80.1272185,13.1934148,80.1309136,Alamathi,Alamathi,3818,713,686,0.17967522262964902
13.1898297,80.1231024,13.1885825,80.1276735,Alamathi,Alamathi,514,97,97,0.188715953307393
13.1835151,80.1290247,13.1852805,80.1247332,Thirumullaivoyal,Thirumullaivoyal,3308,488,438,0.13240628778718258
13.1852805,80.1247332,13.1867429,80.1194922,Thirumullaivoyal,Thirumullaivoyal,641,136,136,0.2121684867394696
13.1783964,80.1256005,13.1789327,80.1183038,Phase 3,Phase 3,906,232,231,0.25496688741721857
13.1783964,80.1256005,13.1784194,80.1207644,Phase 3,Phase 3,655,174,173,0.2641221374045801
13.1867886,80.1192932,13.1854685,80.124186,Thirumullaivoyal,Thirumullaivoyal,580,125,124,0.21379310344827587
13.1854685,80.124186,13.1836927,80.1286707,Thirumullaivoyal,Thirumullaivoyal,840,136,136,0.1619047619047619
13.1825742,80.1099574,13.1821799,80.1050251,krishnaveni Nagar,Unknown,585,92,92,0.15726495726495726
13.1912965,80.1096999,13.1921283,80.1144048,Alamathi,Alamathi,518,64,64,0.12355212355212356
13.1912965,80.1096999,13.1877771,80.1122073,Alamathi,Chennai,1516,388,394,0.2598944591029024
13.190975,80.1079225,13.1943989,80.1094692,Padianallur,Alamathi,1522,207,206,0.13534822601839686
13.1943989,80.1094692,13.1987528,80.1107244,Alamathi,Alamathi,458,61,61,0.1331877729257642
13.1987528,80.1107244,13.1946443,80.1103007,Alamathi,Alamathi,458,60,60,0.13100436681222707
13.1946443,80.1103007,13.1919807,80.1078545,Alamathi,Padianallur,1689,263,263,0.1557134399052694
13.1839708,80.0929429,13.1867493,80.0952272,Morai,Morai,479,117,117,0.24425887265135698
13.1878782,80.0935323,13.1853288,80.0952335,Morai,Morai,942,173,182,0.1932059447983015
13.0970709,80.1296982,13.0951366,80.125566,Aparna Nagar,Ambigai Nagar,594,61,54,0.09090909090909091
13.1661342,80.1989312,13.1636818,80.2023961,Chennai,St Anthony Nagar,517,94,94,0.18181818181818182
13.1956916,80.1791351,13.1941498,80.1745789,Red Hills,Red Hills,524,58,49,0.09351145038167939
13.073368,80.0818777,13.0781588,80.0824512,Kolappancheri,Kolappancheri,539,87,87,0.1614100185528757
13.0781588,80.0824512,13.0829831,80.0833969,Kolappancheri,Avadi,549,65,65,0.11839708561020036
13.0829831,80.0833969,13.087051,80.0842177,Avadi,Avadi,503,56,56,0.11133200795228629
13.1525104,80.0980898,13.151087,80.0938901,Sami Nagar,Avadi,503,117,117,0.23260437375745527
13.1526031,80.0991706,13.1485924,80.1009609,Poompozhil Nagar,Kannadapalayam,504,92,91,0.18055555555555555
13.1485924,80.1009609,13.1443077,80.1021935,Kannadapalayam,Kannadapalayam,505,91,90,0.1782178217821782
13.1324562,80.1111601,13.1369819,80.1107554,Poompozhil Nagar,Poompozhil Nagar,795,168,171,0.21509433962264152
13.1381265,80.110835,13.1337407,80.1113934,Poompozhil Nagar,Poompozhil Nagar,833,152,164,0.19687875150060025
13.1436139,80.1030443,13.1475909,80.1012419,Avadi,Kannadapalayam,528,95,94,0.17803030303030304
13.1475909,80.1012419,13.1518891,80.0993944,Kannadapalayam,Poompozhil Nagar,537,98,97,0.18063314711359404
13.1748791,80.0903138,13.1727627,80.0944745,Morai,Morai,746,147,162,0.21715817694369974
13.1727627,80.0944745,13.1699436,80.098206,Morai,New Vellanur,699,144,145,0.20743919885550788
13.1695191,80.0984368,13.1727627,80.0944745,Bharathi Nagar,Morai,779,249,191,0.24518613607188702
13.1727627,80.0944745,13.1748791,80.0903138,Morai,Morai,746,217,166,0.2225201072386059
13.1576685,80.1034871,13.1625452,80.1014076,New Vellanur,New Vellanur,1854,305,284,0.15318230852211434
13.1625452,80.1014076,13.1666821,80.0995354,New Vellanur,New Vellanur,1009,266,188,0.1863230921704658
13.1682115,80.0988516,13.1637309,80.1007317,New Vellanur,New Vellanur,775,142,115,0.14838709677419354
13.1637309,80.1007317,13.1595225,80.1027495,New Vellanur,New Vellanur,2121,338,321,0.15134370579915135
13.1611015,80.1115135,13.1589229,80.1073837,New Vellanur,Tirumullaivayal,529,61,61,0.11531190926275993
13.1555959,80.1049004,13.1546599,80.1097761,New Vellanur,Poompozhil Nagar,538,72,71,0.13197026022304834
13.1546599,80.1097761,13.1529023,80.1150097,Poompozhil Nagar,New Vellanur,605,79,79,0.1305785123966942
13.1529023,80.1150097,13.1513069,80.1199978,New Vellanur,New Vellanur,576,74,74,0.1284722222222222
13.1513069,80.1199978,13.1529226,80.1249025,New Vellanur,New Vellanur,564,73,72,0.1276595744680851
13.1631126,80.1006109,13.1675511,80.0987813,New Vellanur,Bharathi Nagar,534,66,65,0.12172284644194757
13.1678532,80.0987309,13.1634136,80.1004374,New Vellanur,New Vellanur,718,127,107,0.149025069637883
13.1632008,80.0977808,13.1598259,80.094223,Bharathi Nagar,New Vellanur,547,81,72,0.1316270566727605
13.1598259,80.094223,13.1547484,80.0918571,New Vellanur,New Vellanur,629,82,73,0.11605723370429252
13.1547484,80.0918571,13.1506168,80.0890058,New Vellanur,New Vellanur,554,94,87,0.15703971119133575
13.1705197,80.1432604,13.1661858,80.1444013,Pammathukulam,Red Hills,571,171,170,0.29772329246935203
13.1703731,80.1415987,13.1692319,80.1404076,Pammathukulam,Pammathukulam,2702,605,562,0.20799407846039972
13.1683806,80.1386464,13.1683251,80.1416494,Lakshmi Nagar,Pammathukulam,407,108,107,0.2628992628992629
13.1678401,80.1468142,13.1674076,80.1436758,Pammathukulam,Pammathukulam,1120,362,361,0.3223214285714286
13.130555,80.1927415,13.1349106,80.190994,Chennai,Sakthi Nagar,520,61,52,0.1
13.1141941,80.1797752,13.1146747,80.1747859,Srinivasa Puram,Korattur Tank,543,73,65,0.11970534069981584
12.9109187,80.2006146,12.9158358,80.2015604,VGP Prabhu Nagar,Medavakkam,589,133,138,0.23429541595925296
